"","year","county","use_type","use_acre_ft"
"571",1984,"HALL","irrigation",12324
"572",1984,"HALL","livestock",40
"573",1984,"HALL","manufacturing",18
"574",1984,"HALL","mining",0
"575",1984,"HALL","municipal",214
"576",1984,"HALL","steam_electric_power",0
"577",1984,"HAMILTON","irrigation",1096
"578",1984,"HAMILTON","livestock",700
"579",1984,"HAMILTON","manufacturing",9
"580",1984,"HAMILTON","mining",0
"581",1984,"HAMILTON","municipal",627
"582",1984,"HAMILTON","steam_electric_power",0
"583",1984,"HANSFORD","irrigation",252284
"584",1984,"HANSFORD","livestock",3258
"585",1984,"HANSFORD","manufacturing",3
"586",1984,"HANSFORD","mining",878
"587",1984,"HANSFORD","municipal",1501
"588",1984,"HANSFORD","steam_electric_power",0
"589",1984,"HARDEMAN","irrigation",6422
"590",1984,"HARDEMAN","livestock",45
"591",1984,"HARDEMAN","manufacturing",0
"592",1984,"HARDEMAN","mining",0
"593",1984,"HARDEMAN","municipal",229
"594",1984,"HARDEMAN","steam_electric_power",0
"595",1984,"HARDIN","irrigation",1141
"596",1984,"HARDIN","livestock",48
"597",1984,"HARDIN","manufacturing",65
"598",1984,"HARDIN","mining",1077
"599",1984,"HARDIN","municipal",16954
"600",1984,"HARDIN","steam_electric_power",0
"601",1984,"HARRIS","irrigation",31728
"602",1984,"HARRIS","livestock",583
"603",1984,"HARRIS","manufacturing",27883
"604",1984,"HARRIS","mining",930
"605",1984,"HARRIS","municipal",362285
"606",1984,"HARRIS","steam_electric_power",9483
"607",1984,"HARRISON","irrigation",20
"608",1984,"HARRISON","livestock",404
"609",1984,"HARRISON","manufacturing",116
"610",1984,"HARRISON","mining",378
"611",1984,"HARRISON","municipal",2952
"612",1984,"HARRISON","steam_electric_power",0
"613",1984,"HARTLEY","irrigation",219512
"614",1984,"HARTLEY","livestock",2880
"615",1984,"HARTLEY","manufacturing",0
"616",1984,"HARTLEY","mining",0
"617",1984,"HARTLEY","municipal",266
"618",1984,"HARTLEY","steam_electric_power",0
"619",1984,"HASKELL","irrigation",21026
"620",1984,"HASKELL","livestock",42
"621",1984,"HASKELL","manufacturing",25
"622",1984,"HASKELL","mining",115
"623",1984,"HASKELL","municipal",525
"624",1984,"HASKELL","steam_electric_power",0
"625",1984,"HAYS","irrigation",150
"626",1984,"HAYS","livestock",508
"627",1984,"HAYS","manufacturing",1068
"628",1984,"HAYS","mining",97
"629",1984,"HAYS","municipal",11828
"630",1984,"HAYS","steam_electric_power",0
"631",1984,"HEMPHILL","irrigation",5180
"632",1984,"HEMPHILL","livestock",157
"633",1984,"HEMPHILL","manufacturing",125
"634",1984,"HEMPHILL","mining",0
"635",1984,"HEMPHILL","municipal",1287
"636",1984,"HEMPHILL","steam_electric_power",0
"637",1984,"HENDERSON","irrigation",20
"638",1984,"HENDERSON","livestock",900
"639",1984,"HENDERSON","manufacturing",0
"640",1984,"HENDERSON","mining",925
"641",1984,"HENDERSON","municipal",3886
"642",1984,"HENDERSON","steam_electric_power",104
"643",1984,"HIDALGO","irrigation",8850
"644",1984,"HIDALGO","livestock",107
"645",1984,"HIDALGO","manufacturing",49
"646",1984,"HIDALGO","mining",536
"647",1984,"HIDALGO","municipal",5357
"648",1984,"HIDALGO","steam_electric_power",0
"649",1984,"HILL","irrigation",0
"650",1984,"HILL","livestock",118
"651",1984,"HILL","manufacturing",98
"652",1984,"HILL","mining",72
"653",1984,"HILL","municipal",2609
"654",1984,"HILL","steam_electric_power",0
"655",1984,"HOCKLEY","irrigation",100884
"656",1984,"HOCKLEY","livestock",389
"657",1984,"HOCKLEY","manufacturing",120
"658",1984,"HOCKLEY","mining",4371
"659",1984,"HOCKLEY","municipal",1991
"660",1984,"HOCKLEY","steam_electric_power",0
"661",1984,"HOOD","irrigation",142
"662",1984,"HOOD","livestock",305
"663",1984,"HOOD","manufacturing",20
"664",1984,"HOOD","mining",81
"665",1984,"HOOD","municipal",2937
"666",1984,"HOOD","steam_electric_power",142
"667",1984,"HOPKINS","irrigation",0
"668",1984,"HOPKINS","livestock",1866
"669",1984,"HOPKINS","manufacturing",0
"670",1984,"HOPKINS","mining",0
"671",1984,"HOPKINS","municipal",1225
"672",1984,"HOPKINS","steam_electric_power",0
"673",1984,"HOUSTON","irrigation",26
"674",1984,"HOUSTON","livestock",846
"675",1984,"HOUSTON","manufacturing",17
