"","county","gallons_from_groundwater","year"
"490","Saint Joseph",22302155651,2013
"491","Sanilac",1107537889,2013
"492","Schoolcraft",634014423,2013
"493","Shiawassee",1049497440,2013
"494","Tuscola",1670085987,2013
"495","Van Buren",11175322719,2013
"496","Washtenaw",6337306515,2013
"497","Wayne",647065659,2013
"498","Wexford",2465200640,2013
"499","Alcona",314197477,2012
"500","Alger",318560275,2012
"501","Allegan",6895984260,2012
"502","Alpena",21094409,2012
"503","Antrim",3664720112,2012
"504","Arenac",56665648,2012
"505","Baraga",0,2012
"506","Barry",1892873692,2012
"507","Bay",69582268,2012
"508","Benzie",707561481,2012
"509","Berrien",8034308501,2012
"510","Branch",10180349127,2012
"511","Calhoun",10447664477,2012
"512","Cass",16671955152,2012
"513","Charlevoix",4956908955,2012
"514","Cheboygan",415772830,2012
"515","Chippewa",449795776,2012
"516","Clare",415641183,2012
"517","Clinton",1596394459,2012
"518","Crawford",367652837,2012
"519","Delta",153326284,2012
"520","Dickinson",1015885811,2012
"521","Eaton",1419300216,2012
"522","Emmet",3176523104,2012
"523","Genesee",3332270063,2012
"524","Gladwin",193890501,2012
"525","Gogebic",583954058,2012
"526","Grand Traverse",1255687613,2012
"527","Gratiot",4873534964,2012
"528","Hillsdale",4023503563,2012
"529","Houghton",1192065354,2012
"530","Huron",552348381,2012
"531","Ingham",12440454895,2012
"532","Ionia",2722090216,2012
"533","Iosco",117719730,2012
"534","Iron",594391700,2012
"535","Isabella",2545524115,2012
"536","Jackson",7605898216,2012
"537","Kalamazoo",27095811972,2012
"538","Kalkaska",1917471306,2012
"539","Kent",5878700546,2012
"540","Keweenaw",15631773,2012
"541","Lake",127637610,2012
"542","Lapeer",205727462,2012
"543","Leelanau",801093674,2012
"544","Lenawee",2392441916,2012
"545","Livingston",3388193956,2012
"546","Luce",450197769,2012
"547","Mackinac",44393159,2012
"548","Macomb",679351132,2012
"549","Manistee",1376774335,2012
"550","Marquette",1376170642,2012
"551","Mason",1059909964,2012
"552","Mecosta",4794406269,2012
"553","Menominee",52571550,2012
"554","Midland",213492699,2012
"555","Missaukee",3039022257,2012
"556","Monroe",10024411387,2012
"557","Montcalm",20594311235,2012
"558","Montmorency",68795514,2012
"559","Muskegon",3145876666,2012
"560","Newaygo",2690983855,2012
"561","Oakland",11824100248,2012
"562","Oceana",3001772670,2012
"563","Ogemaw",242763737,2012
"564","Ontonagon",31928100,2012
"565","Osceola",1527089583,2012
"566","Oscoda",81321553,2012
"567","Otsego",1404550533,2012
"568","Ottawa",5318928455,2012
"569","Presque Isle",286726005,2012
"570","Roscommon",226658819,2012
"571","Saginaw",867896814,2012
"572","Saint Clair",170319036,2012
"573","Saint Joseph",31230097909,2012
"574","Sanilac",1610948724,2012
"575","Schoolcraft",640482659,2012
"576","Shiawassee",1097687693,2012
"577","Tuscola",1846555091,2012
"578","Van Buren",11833270943,2012
"579","Washtenaw",5744243357,2012
"580","Wayne",784985760,2012
"581","Wexford",3063044465,2012
"582","Alcona",232656323,2011
"583","Alger",227447900,2011
"584","Allegan",3484763420,2011
"585","Alpena",20145661,2011
"586","Antrim",2787156187,2011
"587","Arenac",28298535,2011
"588","Baraga",0,2011
"589","Barry",1208577880,2011
"590","Bay",29578616,2011
"591","Benzie",551484239,2011
"592","Berrien",4590103124,2011
"593","Branch",4339840665,2011
"594","Calhoun",7073604804,2011
"595","Cass",7275827479,2011
"596","Charlevoix",4825650445,2011
"597","Cheboygan",426129624,2011
"598","Chippewa",428359800,2011
"599","Clare",350685141,2011
"600","Clinton",810403222,2011
"601","Crawford",425733578,2011
"602","Delta",115863409,2011
"603","Dickinson",1005066582,2011
"604","Eaton",1148768788,2011
"605","Emmet",2871987055,2011
"606","Genesee",1624192828,2011
"607","Gladwin",193872498,2011
"608","Gogebic",582444100,2011
"609","Grand Traverse",998357977,2011
"610","Gratiot",1816612878,2011
"611","Hillsdale",2063165245,2011
"612","Houghton",1160832166,2011
"613","Huron",468763561,2011
"614","Ingham",8970162042,2011
"615","Ionia",1823788761,2011
"616","Iosco",96574146,2011
"617","Iron",714383000,2011
"618","Isabella",1554228043,2011
"619","Jackson",4835956357,2011
"620","Kalamazoo",20013635056,2011
"621","Kalkaska",909372042,2011
"622","Kent",4285640000,2011
"623","Keweenaw",15439844,2011
"624","Lake",109599190,2011
"625","Lapeer",137899598,2011
"626","Leelanau",568888917,2011
"627","Lenawee",2055561792,2011
"628","Livingston",3104464106,2011
"629","Luce",312312789,2011
"630","Mackinac",95346400,2011
"631","Macomb",493430505,2011
"632","Manistee",978553534,2011
"633","Marquette",1341428431,2011
"634","Mason",464270659,2011
"635","Mecosta",2625445897,2011
"636","Menominee",50659593,2011
"637","Midland",168406267,2011
"638","Missaukee",864923607,2011
"639","Monroe",9791517004,2011
"640","Montcalm",9342475748,2011
"641","Montmorency",47891261,2011
"642","Muskegon",2636426069,2011
"643","Newaygo",1524819295,2011
"644","Oakland",9686727657,2011
"645","Oceana",1685042650,2011
"646","Ogemaw",245732372,2011
"647","Ontonagon",33188000,2011
"648","Osceola",1332689136,2011
"649","Oscoda",33545802,2011
"650","Otsego",748461704,2011
"651","Ottawa",2082097687,2011
"652","Presque Isle",263791435,2011
"653","Roscommon",162471950,2011
"654","Saginaw",499674845,2011
"655","Saint Clair",178480342,2011
"656","Saint Joseph",13228692764,2011
"657","Sanilac",1375845842,2011
"658","Schoolcraft",634817519,2011
"659","Shiawassee",1063021859,2011
"660","Tuscola",1346516108,2011
"661","Van Buren",8036184810,2011
"662","Washtenaw",3488246845,2011
"663","Wayne",729603809,2011
"664","Wexford",2695245403,2011
"665","Alcona",247332600,2010
"666","Alger",355729400,2010
"667","Allegan",4554509360,2010
"668","Alpena",30923550,2010
"669","Antrim",2086895950,2010
"670","Arenac",21321500,2010
"671","Baraga",1189948,2010
"672","Barry",988704748,2010
"673","Bay",11937000,2010
"674","Benzie",669558584,2010
"675","Berrien",4208636927,2010
"676","Branch",3399444713,2010
"677","Calhoun",7376911134,2010
"678","Cass",6242422933,2010
"679","Charlevoix",5255738200,2010
"680","Cheboygan",425332100,2010
"681","Chippewa",412760898,2010
"682","Clare",467641923,2010
"683","Clinton",954940799,2010
"684","Crawford",403307900,2010
"685","Delta",99621000,2010
"686","Dickinson",1027264744,2010
"687","Eaton",975210180,2010
"688","Emmet",1508052102,2010
"689","Genesee",1477212815,2010
"690","Gladwin",152293860,2010
"691","Gogebic",544072300,2010
"692","Grand Traverse",1259113372,2010
"693","Gratiot",1472041774,2010
"694","Hillsdale",1986034153,2010
"695","Houghton",1171475000,2010
"696","Huron",460484167,2010
"697","Ingham",12346292511,2010
"698","Ionia",1908420090,2010
"699","Iosco",92489228,2010
"700","Iron",407415800,2010
"701","Isabella",1686077794,2010
"702","Jackson",4340376259,2010
"703","Kalamazoo",18853808081,2010
"704","Kalkaska",525713507,2010
"705","Kent",4326636097,2010
"706","Keweenaw",11547130,2010
"707","Lake",121098300,2010
"708","Lapeer",147422560,2010
"709","Leelanau",561950823,2010
"710","Lenawee",1915337814,2010
"711","Livingston",2918394076,2010
"712","Luce",344054093,2010
"713","Mackinac",32177000,2010
"714","Macomb",533422084,2010
"715","Manistee",1088490838,2010
"716","Marquette",885941304,2010
"717","Mason",488601540,2010
"718","Mecosta",2567371984,2010
"719","Menominee",55373682,2010
"720","Midland",234397346,2010
"721","Missaukee",683531110,2010
"722","Monroe",9708775602,2010
"723","Montcalm",9249912468,2010
"724","Montmorency",11793026,2010
"725","Muskegon",2561350464,2010
"726","Newaygo",1712468346,2010
"727","Oakland",10374946713,2010
"728","Oceana",1152123520,2010
"729","Ogemaw",217986359,2010
"730","Ontonagon",32130800,2010
"731","Osceola",1046031210,2010
"732","Oscoda",95385588,2010
"733","Otsego",976895400,2010
"734","Ottawa",2094577033,2010
"735","Presque Isle",7583330500,2010
"736","Roscommon",156158720,2010
"737","Saginaw",479001070,2010
"738","Saint Clair",161949539,2010
"739","Saint Joseph",12168815009,2010
"740","Sanilac",820697678,2010
"741","Schoolcraft",5378336208,2010
"742","Shiawassee",901976680,2010
"743","Tuscola",1193941237,2010
"744","Van Buren",6331667972,2010
"745","Washtenaw",3468962590,2010
"746","Wayne",641049332,2010
"747","Wexford",1601754622,2010
"748","Alcona",267609617,2009
"749","Alger",347556700,2009
"750","Allegan",5961655750,2009
"751","Alpena",14194714,2009
"752","Antrim",4232997800,2009
"753","Arenac",54662107,2009
"754","Baraga",1191625,2009
"755","Barry",1603916554,2009
"756","Bay",20400000,2009
"757","Benzie",784451331,2009
"758","Berrien",6843879501,2009
"759","Branch",4196432244,2009
"760","Calhoun",8685194258,2009
"761","Cass",10891788641,2009
"762","Charlevoix",5130243500,2009
"763","Cheboygan",485889930,2009
"764","Chippewa",431611350,2009
"765","Clare",386288981,2009
"766","Clinton",1448282033,2009
"767","Crawford",396346900,2009
"768","Delta",93651898,2009
"769","Dickinson",1031911422,2009
"770","Eaton",1145062519,2009
"771","Emmet",1491342700,2009
"772","Genesee",1778896043,2009
"773","Gladwin",159551728,2009
"774","Gogebic",573152700,2009
"775","Grand Traverse",868236419,2009
"776","Gratiot",2627771256,2009
"777","Hillsdale",2424891311,2009
"778","Houghton",1270584275,2009
"779","Huron",968463942,2009
"780","Ingham",12615374176,2009
"781","Ionia",2010814552,2009
"782","Iosco",87086770,2009
"783","Iron",876136600,2009
"784","Isabella",2203540818,2009
"785","Jackson",5271225645,2009
"786","Kalamazoo",22280623443,2009
"787","Kalkaska",741525358,2009
"788","Kent",4995707744,2009
"789","Keweenaw",17819582,2009
"790","Lake",118910804,2009
"791","Lapeer",424163056,2009
"792","Leelanau",951813662,2009
"793","Lenawee",1791190864,2009
"794","Livingston",2968116893,2009
"795","Luce",483729640,2009
"796","Mackinac",32590000,2009
"797","Macomb",515564580,2009
"798","Manistee",1333976905,2009
"799","Marquette",980080440,2009
"800","Mason",646303212,2009
"801","Mecosta",3733568886,2009
"802","Menominee",55219427,2009
"803","Midland",215660648,2009
"804","Missaukee",1194764599,2009
"805","Monroe",8565697106,2009
"806","Montcalm",14922514161,2009
"807","Montmorency",40310520,2009
"808","Muskegon",2779449626,2009
"809","Newaygo",1798373616,2009
"810","Oakland",9737299093,2009
"811","Oceana",1864911639,2009
"812","Ogemaw",278116655,2009
"813","Ontonagon",33432400,2009
"814","Osceola",1011253287,2009
"815","Oscoda",98076330,2009
"816","Otsego",1064783745,2009
"817","Ottawa",3856766994,2009
"818","Presque Isle",9572999000,2009
"819","Roscommon",146267583,2009
"820","Saginaw",834486937,2009
"821","Saint Clair",188549350,2009
"822","Saint Joseph",17628830938,2009
"823","Sanilac",934425640,2009
"824","Schoolcraft",8194421,2009
"825","Shiawassee",1040844019,2009
"826","Tuscola",1648172957,2009
"827","Van Buren",11757738030,2009
"828","Washtenaw",3598026473,2009
"829","Wayne",688009224,2009
"830","Wexford",1200558390,2009
